,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tempo_bpm,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,is_ai
Poorly Dressed,-108.104225,64.16783,14.5866375,16.214853,5.49592,-2.115369,-0.74697226,0.09096279,-5.9957194,2.5887382,-4.2113786,-0.67456794,-9.474771,-0.32415742,-7.4271,-7.255048,-8.827991,-4.671736,-3.5665522,3.5682013,95,0.275934,0.3783304,0.29832387,0.4090853,0.32714012,0.4622647,0.30413374,0.22533363,0.2822117,0.30301833,0.47406912,0.28414544,1
Potato Boy,-92.740814,69.992645,-7.211838,18.293926,2.0542152,-1.7891287,-5.0884767,1.7161458,-8.713404,0.14700024,-7.645695,1.8817468,-8.57531,-2.5338147,-4.613204,-1.9008824,-2.3457,-0.49317276,-5.612582,-1.3936484,99,0.22176737,0.32549116,0.2015701,0.29306656,0.3438754,0.19061624,0.3236275,0.23098041,0.3774617,0.3050459,0.26322842,0.37168065,1
Prank Call,-176.38133,131.80489,15.888794,34.94395,10.436429,7.278682,6.794213,8.812787,-2.3707702,6.8221583,0.3639809,8.955011,4.7355404,0.66389406,5.914117,6.748322,0.037324227,6.4339447,-1.2931738,-4.01929,172,0.36069256,0.21454424,0.3024944,0.34474072,0.18798304,0.27983168,0.17768854,0.34135354,0.31466794,0.3254279,0.5515905,0.3356832,1
Pretty Ghost,-135.77252,82.70201,17.576385,25.408316,5.463504,3.0940073,-4.70522,3.89812,1.1772907,1.6496767,-0.08790707,5.394109,-6.193052,0.35029447,-0.13572282,-2.7644725,-4.6367154,2.2933142,-4.900652,-2.1801124,117,0.20350614,0.17395335,0.26779,0.33311617,0.64668876,0.33800855,0.2543757,0.3198204,0.3330711,0.3657182,0.30836117,0.42517266,1
Proud Of You,-198.60934,127.08682,-6.732641,22.360504,5.5225205,0.740147,-4.1146054,-7.662834,0.05737579,-2.3556573,-3.9554985,3.8230348,-12.108974,-6.892413,-12.305472,-11.018262,-12.269501,-4.0947785,-5.1584177,-4.743686,92,0.29274035,0.51051867,0.16140401,0.2570906,0.14243849,0.3464931,0.25909135,0.22530264,0.3521597,0.17280775,0.19743738,0.105068065,1
Purple Milk,-347.16528,97.72431,27.20665,9.96165,-7.3808837,-10.955686,-11.6791315,-10.270984,-13.051401,-8.815855,-12.07697,-3.9857903,-8.963946,-4.5709414,-6.719994,-5.395179,-5.7988195,-1.6174706,-7.8487244,-2.2501652,89,0.43223152,0.20758432,0.27833447,0.18770863,0.33533987,0.23567143,0.17651314,0.29219988,0.1885915,0.21393928,0.17212293,0.35854915,1
Put Your Socks On,-125.52363,63.254887,16.947884,25.13513,2.9171515,8.81471,-5.3444543,-4.543476,-1.4174994,-2.7987275,-3.4090462,2.889337,-2.7705257,0.9106389,-4.1797266,-1.087779,-5.6048985,3.175756,-4.0216517,-3.4602747,99,0.2062052,0.1996424,0.35026363,0.21122012,0.33046463,0.16290815,0.27931967,0.34799978,0.1771292,0.266196,0.20819779,0.41222012,1
Radio,-168.29355,104.28092,-5.032113,42.15728,19.18965,6.348517,2.6998794,2.6416285,2.482078,-2.8341856,-5.8034077,2.1891487,-6.694144,-4.341846,-4.458586,-2.8727286,-8.874498,-2.1156437,-4.456347,-5.2542214,107,0.38858482,0.6810939,0.28432593,0.28292418,0.17319821,0.31371802,0.33472094,0.21895091,0.3050254,0.19440046,0.30003616,0.18730754,1
Rain Check,-175.0987,127.47608,9.727112,35.968037,-5.7201014,-1.9022039,-7.6186795,-1.8580502,-1.3428534,-1.8980552,-4.447421,-1.0463523,-7.919157,-2.2055519,-6.232142,2.04722,-1.7417285,-1.4331248,-4.198621,5.943987,172,0.055408157,0.15755777,0.23498861,0.65296006,0.18049118,0.2523413,0.25304657,0.10007996,0.07892232,0.090754665,0.3494965,0.13007177,1
Reboot,-214.19365,110.30694,12.301577,18.204447,-2.6185594,1.7649506,-3.916341,-6.9209967,-3.0411181,-1.1349503,-7.7104864,0.69588006,-9.434415,-6.0714684,-9.962918,-7.128586,-10.938747,-3.0973637,-4.2512674,-9.631335,135,0.25888705,0.54461765,0.20601049,0.23562038,0.24155276,0.16618732,0.25560194,0.21898866,0.38675934,0.16644992,0.11981607,0.21349674,1
Riding My Bicycle,-221.33084,94.31998,-4.0325613,36.662804,8.70031,-11.686453,-7.5519414,2.5600772,-1.2097555,-5.164566,-9.833552,-0.6591384,-4.111804,-4.1225104,-3.9578826,0.3133081,0.23620398,1.8609079,-3.183537,-1.4127554,86,0.3095697,0.3606552,0.20072092,0.25936034,0.14463888,0.23407705,0.16509888,0.311832,0.2925386,0.13505472,0.29109508,0.18538138,1
Rollercoaster,-82.47762,54.881275,-5.5964355,20.364597,6.738255,4.834655,4.1058793,-1.175075,-1.097269,6.1845446,-3.5805495,0.5643135,-4.7669225,-0.24358149,-2.771597,0.54544,-3.4879744,0.4194333,-4.4532685,-0.7119796,89,0.19406606,0.2776201,0.24947563,0.44092265,0.2549552,0.23840417,0.35773152,0.3229128,0.4326021,0.27727267,0.40041018,0.26559934,1
Sand,-109.75381,85.6574,8.738895,28.81022,10.873761,-5.333177,6.151052,-10.522321,7.7060213,0.48663226,-8.960474,8.003568,-5.941602,9.298973,-1.4543897,1.3126466,-0.23729713,-0.2804118,3.5574372,6.4554563,95,0.39263928,0.26914138,0.13790555,0.2884269,0.19194779,0.4438993,0.21448149,0.1602391,0.27399158,0.22594039,0.3585631,0.19744726,1
Say Goodbye to the Aliens,-220.46872,97.27905,-9.0032,12.211982,-3.4393833,-4.111206,-10.641167,-16.166801,-7.142998,-10.601914,-15.144221,-7.771292,-19.086407,-0.5645965,-16.099329,-8.471124,-4.055341,-5.5110383,-0.8181518,-0.4795332,172,0.31478968,0.23896256,0.3086512,0.3788853,0.15202473,0.18130465,0.19731097,0.31325814,0.12622419,0.087204106,0.18328048,0.15350513,1
Scared of the Dark,-254.41759,115.90501,17.46044,11.124264,-0.27238914,-12.082289,-7.6985583,-6.1258445,-5.4653482,-1.8634007,-10.561192,-8.50118,-11.690399,2.5894258,-11.505215,-2.264664,-0.4231645,-2.202097,0.43225485,4.1929274,151,0.3475806,0.26356867,0.32199547,0.26375222,0.35144335,0.2749996,0.23354836,0.3483476,0.23305918,0.26718003,0.22648467,0.3462169,1
Seven Wonders,-242.29485,113.20471,41.450024,13.3788595,16.110264,-1.1871364,2.594046,-5.8207083,-12.405661,-2.498154,-9.839789,-5.939699,-10.644669,-1.8071661,-6.7886662,-5.8893943,-8.693492,-7.0052547,-9.910067,-9.01066,143,0.13675079,0.14478096,0.33247167,0.24072444,0.1499486,0.34180716,0.17425692,0.22007407,0.1599019,0.23298971,0.5081649,0.21099256,1
Shoveling Snow,-145.74629,66.68737,2.5369065,19.071442,-0.43782803,-3.0180264,-8.5346775,-5.677889,-5.7435303,0.7054179,-5.626247,0.3505391,-5.802115,-4.350603,1.5643497,-2.7836328,-6.664339,-2.1940737,-11.161553,-2.3289356,83,0.48311263,0.19601013,0.21105692,0.18053384,0.3433509,0.21698263,0.1876832,0.31647697,0.24553712,0.31668615,0.17763995,0.27539974,1
Skyscraper,-165.38493,90.408745,9.145166,15.8035965,2.7717986,2.4307885,-7.2003903,1.2936459,-3.419674,-3.0862176,2.17264,2.9660442,-9.907498,1.2013475,-0.051996425,1.5444727,-4.346655,1.2064245,-2.4186032,-3.895207,129,0.187468,0.28430796,0.35507947,0.20362248,0.2580713,0.21817718,0.36146122,0.21496445,0.22812629,0.37552127,0.25025892,0.33429843,1
Sleeping in the Movie Theater,-120.30578,58.451153,15.4166155,18.505106,7.4746575,6.082229,-2.4402852,2.7697544,-3.9658759,0.83333224,1.2863027,-3.1116328,-7.731723,-5.658928,-6.573883,-3.8067925,-7.2980504,0.010743132,-3.7676628,-4.513668,117,0.3534737,0.24669586,0.42681408,0.23949748,0.33332837,0.27221277,0.25300184,0.34980127,0.24303451,0.27626067,0.18786295,0.28214455,1
Sleeping on the Couch,-76.31959,70.68411,-8.333405,32.64257,3.476839,9.063036,-2.3126514,4.641762,3.1349156,3.5908127,-3.5016632,4.5797644,-5.61259,-0.5053695,-0.67839766,0.72239774,-6.416912,2.0821714,-2.657573,-0.45384523,112,0.38647693,0.35725582,0.6318847,0.31823957,0.30081525,0.320754,0.35814983,0.5872277,0.34516117,0.3813491,0.33415475,0.37559023,1
Smash the Guitar,-124.70626,107.08226,-14.304186,31.612356,-0.22500053,6.840023,1.7551502,4.1654863,-4.888742,1.0690551,0.7871074,3.9817374,-1.6611054,-2.115786,-5.3074365,0.77666336,-2.244051,-1.602502,-4.072528,-3.1201823,161,0.21498412,0.2903829,0.17435218,0.47714007,0.6629013,0.33257326,0.25541306,0.20713308,0.35711548,0.40072414,0.3367405,0.34711692,1
Smelly Glue,-122.95102,73.4126,17.521233,32.29949,8.574005,12.428652,2.2713153,2.5875928,-4.532813,-2.2428327,-8.727264,-2.290548,-10.960632,-8.089458,-9.675564,-3.4145613,-2.1861417,3.3316708,-0.90833765,-1.5157666,103,0.30047938,0.1789402,0.2662862,0.25305513,0.51175565,0.3307737,0.21084353,0.26853126,0.2981475,0.43417892,0.29291016,0.37911862,1
Smoothie with the Devil,-165.16794,81.3743,17.937904,18.651873,6.229908,-1.5188532,3.9977667,-10.33843,6.6004567,-4.1517034,-10.367317,-5.3156548,-17.790684,3.1520998,-19.044,-9.876942,-9.5017605,-9.362727,-7.4502287,-4.9311194,80,0.46401495,0.3184093,0.33563367,0.1908989,0.16873781,0.27808505,0.2796988,0.38527486,0.21430972,0.15265521,0.13630882,0.25389788,1
Sneeze Like You Mean It,-156.36896,83.55021,5.601261,3.9905727,1.8977202,-6.2051263,-10.570088,-8.415222,-11.923472,-8.719649,-4.7360554,-3.113132,-2.8468764,-1.0360289,-3.0540364,2.5328355,-4.8007836,0.3906792,-3.3757324,-1.7032816,89,0.35716823,0.27054933,0.33158132,0.32508743,0.33177918,0.24994974,0.26905584,0.36387128,0.3140698,0.38643202,0.2894511,0.37317413,1
So You Were in a Band,-126.13736,78.37576,8.946661,38.506344,8.8081875,8.909532,7.2254376,1.8059007,-0.84836507,10.627171,-2.1115239,4.576377,-3.5008533,0.78993285,-4.502089,-0.46116373,-4.817826,0.068103805,0.5274223,1.9009128,78,0.43711513,0.36038828,0.43143323,0.29135737,0.33210933,0.22699729,0.39550766,0.5431545,0.2847538,0.2416784,0.24953921,0.45215595,1
Solar Flare,-255.59868,131.51991,55.85956,35.811287,26.370493,10.842439,7.701115,1.378387,-4.2882824,-1.5149758,0.67288935,2.0818467,-9.018782,-2.4163055,-5.734826,-3.5148766,-4.5166006,-0.16363534,-2.4571736,1.5930406,117,0.13850681,0.24212663,0.23206726,0.50581896,0.20568125,0.18999411,0.39209583,0.25097102,0.23768996,0.23480213,0.36412895,0.1640722,1
Space Guy,-204.88458,105.62302,7.8012304,13.64858,0.62192905,-7.727118,-4.5159354,-6.756671,-6.420224,-5.4544673,-5.4652376,-2.3312192,-7.9672065,-2.4955304,-6.393594,-5.0559545,-8.19428,-2.0825698,-5.4912176,-3.1669216,172,0.4135112,0.36341995,0.27205342,0.43333986,0.22824839,0.29371724,0.1826806,0.27672482,0.38087288,0.2290295,0.32847816,0.23131411,1
Star Maker,-135.687,94.36326,8.485788,38.975887,4.061493,0.756492,6.811111,-19.908478,7.920968,-1.1510084,-11.00603,5.283995,-7.678234,6.8834314,-1.8938389,1.9441084,-1.5588233,-4.787825,-9.120896,-2.6755502,86,0.2240585,0.24274744,0.5888106,0.37890056,0.19803233,0.23990345,0.15225083,0.23199713,0.14131884,0.27051514,0.37576345,0.17726468,1
Sticky and Sweet,-160.39748,59.32643,-40.988342,21.858814,-8.037188,-10.128486,-11.072275,-8.643903,-11.759114,0.49899194,-8.596743,0.034311183,-7.906227,-0.7785782,-3.544516,3.747142,-1.460082,-2.1362808,-6.7647166,-3.78508,172,0.22375011,0.23315974,0.35932517,0.21291117,0.27775982,0.36054704,0.24967311,0.39904535,0.345612,0.42829823,0.43096772,0.21015862,1
Stop Lying,-235.97044,149.83313,-13.469993,39.02227,3.2380364,-5.794103,3.7797432,-5.6763496,3.5075014,-1.0953132,-5.970041,-3.2891457,-6.4300246,-2.9327488,-6.7572517,-4.461447,-3.9850886,-3.07396,-1.3377427,-7.3096023,161,0.16031636,0.3445168,0.2377426,0.42214555,0.19351368,0.23949662,0.30513325,0.21485557,0.2950118,0.22579063,0.27448255,0.11380003,1
Strange Neighbors,-105.769714,73.77836,-7.887332,27.935799,10.459069,9.926747,-1.2042909,4.7702403,-8.554217,3.6800737,-4.893763,-0.6670047,-4.3645177,-5.3363757,-6.1207767,-0.9459826,-7.415612,2.895089,1.0305433,0.07150089,172,0.41214854,0.28933316,0.3888792,0.34634927,0.19748195,0.29421324,0.3590354,0.4736203,0.30261496,0.2656106,0.2904232,0.30782768,1
Stranger's Eye,-198.37462,78.07263,7.1247506,32.712162,7.6923933,1.5994643,-8.967022,-10.459314,-9.69584,-6.24365,-2.6254182,-2.6287076,-13.876901,-5.642488,-15.021433,-10.059568,-13.072876,-7.961166,-7.2379737,-3.5237687,80,0.14132152,0.18660814,0.3881772,0.13569593,0.17591764,0.1400547,0.0874194,0.11678939,0.23186876,0.70257723,0.21688588,0.084899545,1
Stuck in a Drainpipe,-188.12903,109.6644,21.263014,32.20449,13.833342,4.200301,-0.6207823,0.5610267,2.3372586,4.4375787,-6.287437,1.4656248,-10.384806,-1.5315603,-8.415008,3.2560234,-3.2333727,-0.50862503,0.5635681,-3.2830648,172,0.1876628,0.17843346,0.13550752,0.30958688,0.57289577,0.3202757,0.36695176,0.22774704,0.29740962,0.16982229,0.17510676,0.32405415,1
Superstore,-123.506516,76.19715,9.389082,33.838074,7.7269964,10.25974,-3.5218318,2.84486,-3.8466783,-0.21046907,-0.77916235,-0.7590479,-5.678917,-2.3164368,-6.3147993,0.67309445,-4.3573575,0.31753814,-1.8112062,-1.4447354,117,0.3543753,0.31607512,0.45778403,0.33638084,0.3931732,0.4281408,0.32439965,0.4143827,0.38408324,0.43661225,0.2959339,0.26249024,1
Sushi,-226.06947,115.49911,3.2318413,21.050531,-5.0375824,-14.9193945,-2.997003,-5.6204405,-4.0214143,-3.7435973,-14.649915,-3.8739874,-10.334852,-12.33709,-9.279442,-7.8200603,-9.505492,-4.611743,-7.403207,-7.42953,161,0.2348075,0.22999047,0.45542312,0.31553861,0.19131565,0.2544603,0.20452179,0.3968257,0.22628824,0.3156892,0.38973817,0.18760529,1
Swamp Sugar,-137.62213,88.70311,-7.6784387,27.859539,6.238867,-6.666022,1.4607292,-7.4612846,2.3759048,2.183621,-3.8501136,3.196752,-4.8303556,1.2799821,-3.5101125,1.2159444,4.2006617,-0.03824467,0.38504317,1.4035674,117,0.32140118,0.42173487,0.31902316,0.39179748,0.29606858,0.21262917,0.36605358,0.28843713,0.4488288,0.27931854,0.28746992,0.37849775,1
Swear to God,-291.84042,99.3207,24.447172,27.777456,19.215134,-1.2661443,-3.1488178,-2.5717533,-5.3382893,-1.0094333,-8.667951,-3.5598269,-4.7985067,-7.732343,-5.882462,-3.6790261,-8.094458,-4.8480086,-6.4280157,-8.596445,107,0.13018346,0.15649934,0.4170863,0.27248093,0.15245092,0.27234456,0.14733371,0.21949118,0.11955269,0.26253408,0.3834173,0.13656944,1
Sweat,-145.54828,75.64312,6.083654,32.777863,6.1492887,5.725016,3.7776227,-3.680271,0.3086391,-3.2550275,-8.3182535,1.6634699,-11.051559,1.6796542,-7.977243,-5.2962203,-6.0331473,0.14095303,-0.90379274,-2.8498611,83,0.3221073,0.22287235,0.29982007,0.23932707,0.43715632,0.19483022,0.23771672,0.36225492,0.23898675,0.3005018,0.2519376,0.42986804,1
Sweaty Palms,-267.9841,80.29028,13.68023,27.135382,20.474945,5.738111,12.417843,-4.925018,4.30473,1.9936393,-4.5734453,3.2620978,-10.783304,-0.064393274,-1.2044115,-1.7407533,-3.138116,6.38733,-4.159468,1.048627,83,0.2700906,0.11155238,0.13322367,0.13405429,0.20785744,0.36240536,0.22844362,0.27983636,0.2458851,0.22365065,0.35489792,0.3290054,1
Take My Order,-105.39151,74.92491,11.158682,24.87021,7.0232863,5.78319,-5.409359,3.0323746,-7.8630304,3.1014004,1.5770757,0.25466096,-3.9605017,-0.8346109,-6.2892056,-2.196178,-9.204394,-5.1998515,-5.7828283,-4.2054963,172,0.44412225,0.3059314,0.33457133,0.3221317,0.5142979,0.3380522,0.25731957,0.37758252,0.3188485,0.3239094,0.26329836,0.34749946,1
Talk To Myself,-148.28198,65.3751,-0.5953876,-1.1416086,-2.2007341,5.0573344,0.58581233,0.47256657,-3.0183654,4.185635,-4.6444697,6.121463,-0.12169512,4.1586084,0.0069420403,4.9517074,-2.4445226,3.6356628,-6.6239457,-5.7128158,143,0.23291177,0.2620741,0.20518333,0.33379978,0.17031391,0.16305317,0.2643119,0.19281302,0.33808106,0.25057277,0.4201834,0.47203183,1
Teeth,-115.34203,60.628338,8.011573,23.929611,1.4629649,0.89027554,3.3466585,-2.675144,2.00285,1.6833638,-5.872111,2.54329,-8.18102,-0.1505359,-5.4117713,-4.9652514,-5.321878,-2.9959838,-8.089657,-1.8745466,99,0.31545404,0.23316514,0.33189523,0.35015965,0.20709373,0.31915778,0.30022416,0.49663678,0.31213897,0.23996602,0.33442906,0.29087302,1
Tennis Elbow,-161.27283,77.12847,10.35914,28.904804,7.4467864,-3.6809256,8.772495,-23.294977,5.8715925,-11.525791,-15.791858,-5.6294174,-19.850803,5.683282,-14.427204,-11.342229,-4.9954476,-9.146451,-10.189798,-7.1627603,143,0.16539837,0.3798717,0.21973795,0.41076595,0.14801103,0.14361024,0.1939183,0.120194666,0.22016022,0.1588553,0.36186284,0.18597361,1
The Ballad of Benry J. Rubson,-143.86145,80.46253,22.011662,28.90055,14.4908905,10.339428,-0.5468508,-1.6665003,-2.522159,0.09612971,-7.3243146,3.3429072,-8.166737,-1.4300283,-5.154284,1.6346145,-5.153026,0.49440494,-1.2038864,-1.3838645,78,0.40527967,0.30374372,0.41304654,0.22298346,0.25655445,0.40810293,0.19391307,0.2792649,0.25755197,0.4981248,0.18346804,0.17750391,1
The Climb,-187.64496,99.02217,0.47428492,15.306891,-1.3751365,-0.29467678,-3.8841457,-4.9511437,-3.621739,-8.293242,-11.4544115,-2.2499135,-12.046327,-0.4961203,-13.821043,-0.7441225,-9.990684,-9.761334,-6.317543,-5.177572,161,0.27556697,0.15162742,0.30207443,0.16751777,0.19876152,0.47147405,0.14350173,0.16324607,0.1326677,0.3210354,0.50951093,0.17395198,1
The Glories of Bacon,-204.50735,86.48852,24.158743,14.688986,9.74325,6.648997,-5.3782387,0.8877494,-11.856057,0.02764987,-2.5491216,-3.899922,-3.4470294,-0.5755649,-4.964761,-1.5288156,-8.001064,-3.2793562,-6.808042,-7.254219,123,0.23916428,0.33234012,0.20913333,0.33616883,0.17274089,0.18100084,0.23429999,0.29428926,0.47601116,0.31635588,0.2866109,0.18323678,1
The Gods Made a Mockery of Me,-356.3038,113.881134,59.256943,18.00165,12.372115,-15.432989,17.44677,-22.436995,-3.0357964,-2.2686574,-19.620909,-8.634698,-15.634646,-5.473601,-8.60706,-1.9681296,3.8988147,10.234854,3.4542727,0.59790426,135,0.02976294,0.11503799,0.36891285,0.21492149,0.06599021,0.06415739,0.22243007,0.6392281,0.22963072,0.14457811,0.12346335,0.052756842,1
The Joy of Goodbyes,-241.0283,96.38695,33.49638,30.548477,25.825195,0.9666067,0.03219902,2.7050107,-3.4275749,-0.7163347,-3.4997702,-1.4637436,-16.224531,-8.701308,-13.844613,-8.994774,-10.038713,-12.315297,-12.429471,-6.1542892,151,0.08576605,0.26162782,0.4188121,0.14887063,0.18092424,0.14432964,0.338038,0.22662786,0.1800571,0.2561335,0.12797043,0.12092451,1
The Most American Dog,-144.84477,84.581726,-24.881891,11.893512,-7.811029,-5.0611544,6.673567,-9.361128,1.6320739,-1.1050521,-10.3553705,-1.5128306,-8.736563,-3.6574912,-10.411773,-2.5559413,-6.366976,-5.255598,-1.7592318,-1.8702618,161,0.36773035,0.4444707,0.3708649,0.47203153,0.24381185,0.30560791,0.27134088,0.34985167,0.39257124,0.2933423,0.4656048,0.31975728,1
The One You Love,-235.18904,115.27206,8.957958,26.81625,19.337019,-5.6715174,9.518365,-18.130081,-5.1205935,-4.9922976,-11.116454,0.8697502,-4.094137,1.7577604,0.83470756,-7.9300337,-10.222893,-6.2611113,-10.998985,-6.904897,89,0.17347075,0.26339626,0.18342493,0.142789,0.35363698,0.14514576,0.263125,0.27513516,0.15441678,0.1145507,0.1597226,0.5032432,1
The Perfect Plum,-144.26886,56.920948,5.8741555,23.29843,21.78823,3.0021842,1.4621875,5.5103083,-6.8316517,5.971314,-8.372165,-2.2090404,-5.1419306,-4.3734574,-5.692047,-1.3077967,-10.672377,-3.7590415,-7.47862,-9.505258,99,0.4034363,0.21755488,0.28140903,0.22074252,0.34215716,0.3035999,0.25324222,0.42747894,0.24204613,0.2535808,0.17935415,0.2657208,1
The Problem with The Gnomes,-356.80917,154.75183,24.653032,7.132483,-3.6075118,-2.58084,3.2288315,1.7483779,6.0443654,-0.8150922,1.2119805,-3.9073577,-6.1015635,-0.71272784,-2.5302567,-0.91911536,-0.22484757,-3.410199,-4.8479285,-0.9285286,83,0.25957003,0.12564963,0.14054602,0.14961138,0.2892645,0.22249886,0.19190297,0.3434415,0.22616205,0.23261233,0.3829834,0.4547771,1
The Spirit of Halloween,-160.62935,93.470436,-29.543476,14.4725685,-5.1731396,-16.134203,-17.920992,-7.622869,-16.505579,-9.998063,-7.7408366,-3.4407222,-9.71315,1.4476156,-6.8781943,0.592406,-8.803759,-6.1867104,-5.853718,-5.505109,83,0.44989675,0.23783548,0.32883218,0.30067262,0.40327728,0.25434837,0.14312053,0.21023935,0.17698368,0.27785456,0.22235651,0.26590547,1
The Sun Will Explode One Day,-227.0672,111.11126,19.156513,15.168405,7.1143427,0.10733514,0.35481524,5.896021,-9.016375,4.3080807,-4.4804215,-0.09114939,-6.320877,-5.4156666,-4.556966,-9.17395,-10.457252,-5.4241457,-9.783628,-6.3644757,161,0.27638683,0.19343404,0.25465485,0.26994285,0.38794783,0.21451332,0.21536537,0.19087403,0.21710248,0.3653328,0.27917874,0.43308264,1
The Trouble With Tall People,-147.64247,76.46935,-1.5326673,24.759811,8.31529,7.035549,-5.780085,0.10522697,1.1946034,-4.240035,-4.956278,-4.05998,-9.030521,-1.875449,-5.500199,0.34539658,-6.7486486,0.21078148,-8.362963,-8.952437,83,0.44891065,0.186441,0.169587,0.1265558,0.24112673,0.39194578,0.22876436,0.31712294,0.20490462,0.32437027,0.3249311,0.2228059,1
The Way You Feel,-114.139366,60.564854,-10.51786,13.7442465,-3.996476,-4.463251,-10.2328825,-11.61806,-4.78995,-6.8670373,-7.789268,-4.6270423,-11.896136,-6.112368,-8.98918,-4.6201353,-8.3555765,1.9642379,-3.978087,-4.0939527,92,0.30478445,0.31921506,0.53823143,0.45933533,0.34774718,0.30220658,0.2923372,0.3846623,0.35330555,0.443705,0.29802293,0.2512207,1
The Wild West,-194.41493,104.46857,11.1490555,22.282776,6.5578074,6.4863267,0.29096177,-3.0434732,2.0165992,-2.1306994,-7.6382766,3.6267657,-7.500031,-4.5532756,-6.2423506,-1.4900731,-9.370902,-7.855514,-4.789357,-6.2705545,86,0.3243047,0.25848714,0.40339702,0.22049284,0.22463045,0.28312087,0.22888567,0.29720888,0.24759912,0.4160278,0.19395737,0.20226248,1
There's a Bug in My Soup,-269.53433,81.7099,13.944983,29.49207,22.067358,5.489844,11.340069,-2.9177096,12.771049,-4.606029,-1.0137913,-8.253939,-14.331631,10.3324995,-7.6541595,-1.8089002,1.3281213,-5.810571,-5.1986475,-4.896194,172,0.37502536,0.4399549,0.3238585,0.22150978,0.1784949,0.27776647,0.15192929,0.12580645,0.14320342,0.18268265,0.3556074,0.2657652,1
There's a Shark in My House,-186.55095,95.9731,5.9134564,28.39526,18.23711,11.946591,-2.2193234,-4.961749,-3.6877642,1.8623803,-2.3207064,-2.0285869,-9.945124,-1.5727979,-12.290434,-7.5475717,-7.7099414,1.7432417,-0.6397247,1.8146194,184,0.18821032,0.26610923,0.31736895,0.2050359,0.33346894,0.31136748,0.4547294,0.35238865,0.29302946,0.3394218,0.24966039,0.26961786,1
There's a Spider on the Ceiling,-125.90673,65.92055,25.8195,27.609043,-3.1088636,12.226215,3.2430348,7.7182283,-3.535319,5.206099,0.4209166,2.302178,2.5498557,7.740928,3.3698215,2.9161427,-5.711897,-3.6793172,-5.6734676,-0.12468112,129,0.45710924,0.3130375,0.3865828,0.29566482,0.3563622,0.22293413,0.28163162,0.3473015,0.3312104,0.45872036,0.31424612,0.4570395,1
These Spicy Fries,-165.13179,78.192696,12.930987,21.18825,2.3101614,-2.537053,-0.5878562,0.27133003,-10.011625,-2.8810563,-6.430315,-9.328159,-12.698696,-4.6047006,-7.967011,-5.712476,-6.7178054,-4.619843,-6.3824663,-5.40807,95,0.15102246,0.20046629,0.32236704,0.18629728,0.2783478,0.22263765,0.17307445,0.27794346,0.2749081,0.44851878,0.23260449,0.11918608,1
They Built the Ship Titanic,-192.44032,96.48082,11.599984,20.122498,2.3484132,5.0428176,-8.056508,-13.453657,-7.392873,-7.002814,-14.366041,-5.677477,-18.931463,-8.551531,-9.781977,-6.673642,-11.338759,-4.5329394,-7.0524774,-4.719847,86,0.44669992,0.21407777,0.24385443,0.15937707,0.31111437,0.17985196,0.21830957,0.52670825,0.24450523,0.23793505,0.15468518,0.23789383,1
Too Many Biscuits,-147.24098,80.57977,-7.9226923,28.257767,6.454691,3.5244753,8.699228,-0.8102997,-2.6127706,-2.6964867,-7.418311,3.7291222,-1.4123975,4.577603,0.019545894,3.0895228,-3.3210173,-2.8346446,-4.0590405,2.6873384,143,0.3596005,0.20807633,0.34256113,0.24064486,0.42547056,0.25907096,0.15590104,0.15081799,0.19781376,0.41509825,0.2307966,0.4070752,1
Too Much Fruit,-119.617065,76.94552,-3.392232,24.015862,8.827307,14.007024,-2.4290187,8.090581,-0.08537363,1.7448621,1.8559905,9.116395,-1.8128265,1.3074954,-0.9190092,0.80032367,-3.2396622,0.47719842,-1.7670437,-0.60947335,99,0.48417324,0.38933352,0.36134717,0.36227512,0.35598874,0.40962964,0.32988238,0.41170844,0.4584358,0.33076838,0.39020064,0.38575432,1
Touch The Bottom,-135.05983,92.05452,-2.3835695,23.309378,0.30972204,-6.1633186,-3.0200179,-9.0926695,-2.9798424,-5.7178483,-9.485375,-2.317978,-20.77011,6.0968847,-10.051837,-6.25005,-2.5903099,-2.6117222,-8.597791,-4.1501875,129,0.21024752,0.21789458,0.2005447,0.35815167,0.2777014,0.37601238,0.19166215,0.19590032,0.2985888,0.35693893,0.6726908,0.29825118,1
Treehouse,-146.1322,83.38269,8.883991,15.116056,-0.6158476,-0.97287774,-4.0494757,-18.30421,2.9404676,-5.8727856,-8.934452,7.1779165,-11.67263,-3.783691,-11.035112,-0.5955372,0.70970434,3.260146,2.48323,10.373866,95,0.1563424,0.15133744,0.19692954,0.3941001,0.26848102,0.4632415,0.5142222,0.22416708,0.2584665,0.16896515,0.3081193,0.16793944,1
